"","V1","V2","blastp"
"49017","Sinv_RNA-XM_026138568.1_R0","gene_14892","PREDICTED: LOW QUALITY PROTEIN: glycogen debranching enzyme [Trachymyrmex zeteki]"
"49018","Aech_RNA8946_R0","gene_15049","PREDICTED: LMBR1 domain-containing protein 2 homolog isoform X2 [Acromyrmex echinatior]"
"49021","Aech_RNA8945_R0","gene_15049","PREDICTED: LMBR1 domain-containing protein 2 homolog isoform X1 [Acromyrmex echinatior]"
"49022","Aech_RNA8943_R0","gene_15050","PREDICTED: BBSome-interacting protein 1 [Acromyrmex echinatior]"
"49025","Sinv_RNA-XM_011157419.2_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X4 [Acromyrmex echinatior]"
"49027","Aech_RNA8928_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X1 [Acromyrmex echinatior]"
"49028","Aech_RNA8933_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X3 [Acromyrmex echinatior]"
"49029","Aech_RNA8935_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X2 [Acromyrmex echinatior]"
"49030","Aech_RNA8936_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X4 [Acromyrmex echinatior]"
"49031","Aech_RNA8934_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X1 [Acromyrmex echinatior]"
"49032","Aech_RNA8941_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X6 [Acromyrmex echinatior]"
"49033","Aech_RNA8942_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X9 [Acromyrmex echinatior]"
"49034","Aech_RNA8940_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X7 [Acromyrmex echinatior]"
"49035","Sinv_RNA-XM_026138565.1_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X3 [Trachymyrmex cornetzi]"
"49036","Sinv_RNA-XM_011157423.2_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X4 [Acromyrmex echinatior]"
"49037","Sinv_RNA-XM_011157422.2_R0","gene_14893","PREDICTED: interference hedgehog-like isoform X4 [Acromyrmex echinatior]"
"49038","Sinv_RNA-XM_011157424.2_R0","gene_14894","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105146012 [Acromyrmex echinatior]"
"49040","Aech_RNA8923_R0","gene_14895","PREDICTED: uncharacterized protein LOC105146011 [Acromyrmex echinatior]"
"49043","Aech_RNA8922_R0","gene_15051","PREDICTED: uncharacterized protein LOC105146010 [Acromyrmex echinatior]"
"49046","Aech_RNA8921_R0","gene_14896","PREDICTED: cystathionine gamma-lyase-like [Acromyrmex echinatior]"
"49049","Aech_RNA8919_R0","gene_14897","PREDICTED: putative cystathionine gamma-lyase 2 isoform X1 [Acromyrmex echinatior]"
"49052","Aech_RNA8920_R0","gene_14897","PREDICTED: cystathionine gamma-lyase-like isoform X2 [Acromyrmex echinatior]"
"49053","Aech_RNA8918_R0","gene_15052","PREDICTED: solute carrier family 35 member E2-like [Acromyrmex echinatior]"
"49056","Aech_RNA8917_R0","gene_15053","PREDICTED: prenylcysteine oxidase-like [Acromyrmex echinatior]"
"49060","Aech_RNA8916_R0","gene_15054","PREDICTED: DNA-directed RNA polymerase II subunit RPB9 [Acromyrmex echinatior]"
"49063","Aech_RNA8910_R0","gene_14898","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5 [Acromyrmex echinatior]"
"49066","Aech_RNA8907_R0","gene_14899","PREDICTED: ankyrin-1-like isoform X3 [Acromyrmex echinatior]"
"49068","Aech_RNA8905_R0","gene_14899","PREDICTED: ankyrin repeat and protein kinase domain-containing protein 1-like isoform X4 [Acromyrmex echinatior]"
"49070","Aech_RNA8906_R0","gene_14899","PREDICTED: ankyrin-1-like isoform X1 [Acromyrmex echinatior]"
"49072","Aech_RNA8909_R0","gene_14899","PREDICTED: ankyrin-1-like isoform X1 [Acromyrmex echinatior]"
"49073","Aech_RNA8908_R0","gene_14899","PREDICTED: ankyrin-1-like isoform X2 [Acromyrmex echinatior]"
"49074","Aech_RNA8904_R0","gene_14900","PREDICTED: NADH-ubiquinone oxidoreductase 49 kDa subunit [Acromyrmex echinatior]"
"49077","Aech_RNA8903_R0","gene_14901","PREDICTED: scavenger receptor class B member 1 [Acromyrmex echinatior]"
"49080","Aech_RNA8902_R0","gene_15055","PREDICTED: scavenger receptor class B member 1-like [Acromyrmex echinatior]"
"49083","Aech_RNA8900_R0","gene_15056","PREDICTED: ATPase family AAA domain-containing protein 3 isoform X1 [Acromyrmex echinatior]"
"49086","Aech_RNA8901_R0","gene_15056","PREDICTED: ATPase family AAA domain-containing protein 3 isoform X2 [Acromyrmex echinatior]"
"49087","Aech_RNA8899_R0","gene_14902","PREDICTED: nuclear pore complex protein DDB_G0274915 homolog [Acromyrmex echinatior]"
"49090","Sinv_RNA-XM_011159238.2_R0","gene_14902","PREDICTED: nuclear pore complex protein DDB_G0274915 homolog [Acromyrmex echinatior]"
"49091","Aech_RNA8893_R0","gene_14903","PREDICTED: Y-box factor homolog isoform X1 [Acromyrmex echinatior]"
"49094","Aech_RNA8894_R0","gene_14903","PREDICTED: Y-box factor homolog isoform X2 [Acromyrmex echinatior]"
"49097","Aech_RNA8896_R0","gene_14903","PREDICTED: nuclease-sensitive element-binding protein 1 isoform X3 [Acromyrmex echinatior]"
"49100","Aech_RNA8895_R0","gene_14903","PREDICTED: nuclease-sensitive element-binding protein 1 isoform X4 [Acromyrmex echinatior]"
"49103","Aech_RNA8881_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 isoform X2 [Acromyrmex echinatior]"
"49106","Aech_RNA8877_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 isoform X1 [Acromyrmex echinatior]"
"49107","Aech_RNA8879_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 isoform X3 [Acromyrmex echinatior]"
"49108","Aech_RNA8878_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 isoform X4 [Acromyrmex echinatior]"
"49109","Mpha_ver3_rna-XM_028193104.2_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 isoform X2 [Acromyrmex echinatior]"
"49110","Mpha_ver3_rna-XM_012685375.3_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 isoform X2 [Acromyrmex echinatior]"
"49111","Sinv_RNA-XM_026135781.1_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 [Atta cephalotes]"
"49112","Sinv_RNA-XM_026135782.1_R0","gene_15057","PREDICTED: SET and MYND domain-containing protein 4 isoform X2 [Acromyrmex echinatior]"
"49113","Mpha_ver3_rna-XM_012685422.3_R5","gene_15058","PREDICTED: uncharacterized protein LOC108782495 [Cyphomyrmex costatus]"
"49139","Sinv_RNA-XM_026140495.1_R6","gene_15059","PREDICTED: uncharacterized protein LOC108763996 [Trachymyrmex cornetzi]"
"49140","Aech_RNA8873_R0","gene_14904","PREDICTED: growth factor receptor-bound protein 14-like isoform X2 [Acromyrmex echinatior]"
"49143","Aech_RNA8875_R0","gene_14904","PREDICTED: growth factor receptor-bound protein 14-like isoform X4 [Acromyrmex echinatior]"
"49146","Mpha_ver3_rna-XM_036292217.1_R0","gene_14904","PREDICTED: growth factor receptor-bound protein 14-like isoform X2 [Acromyrmex echinatior]"
"49147","Mpha_ver3_rna-XM_036294503.1_R2","gene_14905",NA
"49148","Aech_RNA8870_R0","gene_14906","PREDICTED: uncharacterized protein LOC105145989 isoform X1 [Acromyrmex echinatior]"
"49150","Aech_RNA8872_R0","gene_14906","PREDICTED: uncharacterized protein LOC105145989 isoform X2 [Acromyrmex echinatior]"
"49152","Aech_RNA8868_R0","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X2 [Acromyrmex echinatior]"
"49155","Aech_RNA8869_R0","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X1 [Acromyrmex echinatior]"
"49157","Mpha_ver3_rna-XM_036292501.1_R0","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X2 [Acromyrmex echinatior]"
"49158","Mpha_ver3_rna-XM_036293367.1_R1","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X2 [Acromyrmex echinatior]"
"49159","Aech_RNA773_R2","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X2 [Acromyrmex echinatior]"
"49160","Mpha_ver3_rna-XM_028191086.2_R0","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X2 [Acromyrmex echinatior]"
"49161","Mpha_ver3_rna-XM_036293372.1_R1","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X2 [Acromyrmex echinatior]"
"49162","Mpha_ver3_rna-XM_012676307.3_R2","gene_14908","hypothetical protein DMN91_008185 [Ooceraea biroi]"
"49163","Sinv_RNA-XM_011168998.2_R1","gene_14908","hypothetical protein DMN91_008185 [Ooceraea biroi]"
"49164","Mpha_ver3_rna-XM_012676305.3_R2","gene_14908","hypothetical protein DMN91_008185 [Ooceraea biroi]"
"49165","Mpha_ver3_rna-XM_036293371.1_R1","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X1 [Acromyrmex echinatior]"
"49166","Sinv_RNA-XM_026138030.1_R1","gene_14908","PREDICTED: sodium-coupled monocarboxylate transporter 1-like isoform X2 [Acromyrmex echinatior]"
"49167","Aech_RNA8867_R0","gene_15060","PREDICTED: cell differentiation protein RCD1 homolog [Acromyrmex echinatior]"
"49170","Aech_RNA8854_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X1 [Acromyrmex echinatior]"
"49173","Aech_RNA8855_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X2 [Acromyrmex echinatior]"
"49176","Aech_RNA8856_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X4 [Acromyrmex echinatior]"
"49179","Aech_RNA8859_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X6 [Acromyrmex echinatior]"
"49182","Aech_RNA8860_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X8 [Acromyrmex echinatior]"
"49185","Aech_RNA8853_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase isoform X9 [Acromyrmex echinatior]"
"49188","Aech_RNA8861_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X11 [Acromyrmex echinatior]"
"49191","Aech_RNA8858_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X3 [Acromyrmex echinatior]"
"49193","Aech_RNA8857_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X5 [Acromyrmex echinatior]"
"49195","Mpha_ver3_rna-XM_036292358.1_R0","gene_14907","cAMP-specific 3',5'-cyclic phosphodiesterase isoform X6 [Solenopsis invicta]"
"49197","Sinv_RNA-XM_026135769.1_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X7 [Acromyrmex echinatior]"
"49199","Mpha_ver3_rna-XM_036292366.1_R0","gene_14907","cAMP-specific 3',5'-cyclic phosphodiesterase isoform X8 [Pogonomyrmex barbatus]"
"49201","Mpha_ver3_rna-XM_012678015.3_R0","gene_14907","cAMP-specific 3',5'-cyclic phosphodiesterase [Acromyrmex echinatior]"
"49203","Aech_RNA8852_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X7 [Acromyrmex echinatior]"
"49204","Aech_RNA8851_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform I isoform X10 [Acromyrmex echinatior]"
"49205","Mpha_ver3_rna-XM_012678009.3_R0","gene_14907","cAMP-specific 3',5'-cyclic phosphodiesterase isoform X5 [Monomorium pharaonis]"
"49206","Sinv_RNA-XM_026135763.1_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X3 [Acromyrmex echinatior]"
"49207","Sinv_RNA-XM_026135765.1_R0","gene_14907","PREDICTED: cAMP-specific 3',5'-cyclic phosphodiesterase, isoform F isoform X5 [Acromyrmex echinatior]"
"49208","Aech_RNA8866_R0","gene_15061","hypothetical protein G5I_05929 [Acromyrmex echinatior]"
"49209","Sinv_RNA-XM_026135778.1_R0","gene_15061","hypothetical protein G5I_05929 [Acromyrmex echinatior]"
"49210","Aech_RNA8865_R0","gene_15062","PREDICTED: uncharacterized protein LOC105145983 [Acromyrmex echinatior]"
"49215","Sinv_RNA-XM_026135777.1_R0","gene_15063","uncharacterized protein LOC105193330 isoform X2 [Solenopsis invicta]"
"49217","Sinv_RNA-XM_026135776.1_R0","gene_15063","uncharacterized protein LOC105193330 isoform X1 [Solenopsis invicta]"
"49218","Aech_RNA8850_R0","gene_15063","PREDICTED: uncharacterized protein LOC105145980 [Acromyrmex echinatior]"
"49219","Aech_RNA8848_R0","gene_15064","PREDICTED: probable rRNA-processing protein EBP2 homolog [Acromyrmex echinatior]"
"49221","Aech_RNA8846_R0","gene_15065","PREDICTED: probable rRNA-processing protein EBP2 homolog [Acromyrmex echinatior]"
"49222","Aech_RNA8845_R0","gene_14909","PREDICTED: uncharacterized protein YJR142W-like [Acromyrmex echinatior]"
"49225","Mpha_ver3_rna-XM_036292373.1_R0","gene_14909","PREDICTED: uncharacterized protein YJR142W-like [Acromyrmex echinatior]"
"49226","Sinv_RNA-XM_026135796.1_R0","gene_14910","basement membrane-specific heparan sulfate proteoglycan core protein [Solenopsis invicta]"
"49227","Aech_RNA8843_R0","gene_14910","PREDICTED: basement membrane-specific heparan sulfate proteoglycan core protein [Acromyrmex echinatior]"
"49228","Mpha_ver3_rna-XM_012682724.3_R0","gene_15066","PREDICTED: protein-S-isoprenylcysteine O-methyltransferase [Acromyrmex echinatior]"
"49230","Aech_RNA8841_R0","gene_15066","PREDICTED: protein-S-isoprenylcysteine O-methyltransferase [Acromyrmex echinatior]"
"49231","Aech_RNA8839_R0","gene_14911","PREDICTED: serine/threonine-protein kinase pelle isoform X2 [Acromyrmex echinatior]"
"49234","Aech_RNA8838_R0","gene_14911","PREDICTED: serine/threonine-protein kinase pelle isoform X1 [Acromyrmex echinatior]"
"49235","Aech_RNA8837_R0","gene_15067","PREDICTED: scavenger receptor class B member 1-like [Acromyrmex echinatior]"
"49237","Sinv_RNA-XM_026132634.1_R0","gene_15067","PREDICTED: scavenger receptor class B member 1-like [Acromyrmex echinatior]"
"49238","Aech_RNA8836_R0","gene_15068","PREDICTED: prolactin regulatory element-binding protein [Acromyrmex echinatior]"
"49241","Mpha_ver3_rna-XM_012673441.3_R5","gene_6920","PREDICTED: translation factor GUF1 homolog, chloroplastic-like [Vollenhovia emeryi]"
"49242","Aech_RNA12313_R2","gene_12252","PREDICTED: troponin C [Atta cephalotes]"
"49245","Aech_RNA9174_R0","gene_12252","PREDICTED: troponin C [Acromyrmex echinatior]"
"49247","Aech_RNA3588_R5","gene_12253","PREDICTED: uncharacterized protein LOC105155026 [Acromyrmex echinatior]"
"49248","Mpha_ver3_rna-XM_036284863.1_R2","gene_12429","uncharacterized protein LOC113562960 [Ooceraea biroi]"
"49249","Mpha_ver3_rna-XM_036285808.1_R1","gene_12254","Putative nuclease HARBI1 [Cyphomyrmex costatus]"
"49251","Aech_RNA9178_R0","gene_12255","PREDICTED: uncharacterized protein LOC105146171 [Acromyrmex echinatior]"
"49253","Sinv_RNA-XM_011173583.1_R4","gene_12430","PREDICTED: uncharacterized protein LOC105143178 [Acromyrmex echinatior]"
"49254","Aech_RNA9180_R0","gene_12256","PREDICTED: protein lin-7 homolog C [Acromyrmex echinatior]"
"49257","Mpha_ver3_rna-XM_028192358.2_R0","gene_12256","protein lin-7 homolog C isoform X2 [Monomorium pharaonis]"
"49259","Mpha_ver3_rna-XM_036284880.1_R0","gene_12256","PREDICTED: protein lin-7 homolog C [Acromyrmex echinatior]"
"49260","Aech_RNA18204_R0","gene_12257","PREDICTED: outer dense fiber protein 3-like [Acromyrmex echinatior]"
"49262","Aech_RNA18206_R0","gene_12258","PREDICTED: pre-mRNA-processing factor 6 isoform X1 [Acromyrmex echinatior]"
"49266","Aech_RNA18207_R0","gene_12258","PREDICTED: pre-mRNA-processing factor 6 isoform X1 [Acromyrmex echinatior]"
"49267","Aech_RNA18208_R0","gene_12259","PREDICTED: uncharacterized protein LOC105151691 [Acromyrmex echinatior]"
"49268","Sinv_RNA-XM_026141584.1_R0","gene_12431","uncharacterized protein LOC113005721 [Solenopsis invicta]"
"49269","Aech_RNA18209_R0","gene_12432","PREDICTED: uncharacterized protein LOC105151692 [Acromyrmex echinatior]"
"49273","Mpha_ver3_rna-XM_036286038.1_R0","gene_12432","PREDICTED: uncharacterized protein LOC105151692 [Acromyrmex echinatior]"
"49281","Aech_RNA18212_R0","gene_12433","PREDICTED: chitinase domain-containing protein 1 [Acromyrmex echinatior]"
"49282","Aech_RNA18213_R0","gene_12434","PREDICTED: uncharacterized protein LOC105151689 [Acromyrmex echinatior]"
"49283","Aech_RNA18214_R0","gene_12260","PREDICTED: estradiol 17-beta-dehydrogenase 11 isoform X1 [Acromyrmex echinatior]"
"49284","Mpha_ver3_rna-XM_036284720.1_R0","gene_12260","PREDICTED: estradiol 17-beta-dehydrogenase 11 isoform X1 [Acromyrmex echinatior]"
"49285","Sinv_RNA-XM_026141408.1_R0","gene_12260","PREDICTED: estradiol 17-beta-dehydrogenase 11 isoform X2 [Acromyrmex echinatior]"
"49286","Mpha_ver3_rna-XM_036293191.1_R6","gene_12435","PREDICTED: uncharacterized protein LOC108759252 [Trachymyrmex cornetzi]"
"49287","Aech_RNA18217_R0","gene_12261","PREDICTED: uncharacterized protein LOC105151695 isoform X1 [Acromyrmex echinatior]"
"49288","Aech_RNA18219_R0","gene_12262","PREDICTED: uncharacterized protein LOC105151695 isoform X2 [Acromyrmex echinatior]"
"49289","Sinv_RNA-XM_011172308.1_R4","gene_12436","Transposable element P transposase, partial [Camponotus floridanus]"
"49290","Sinv_RNA-XM_026141562.1_R4","gene_12263","uncharacterized protein LOC113005713 [Solenopsis invicta]"
"49291","Sinv_RNA-XM_026140342.1_R4","gene_12264","PREDICTED: uncharacterized protein LOC105451263 [Wasmannia auropunctata]"
"49292","Aech_RNA5731_R0","gene_12265","PREDICTED: glutamate-gated chloride channel [Acromyrmex echinatior]"
"49293","Mpha_ver3_rna-XM_036285623.1_R2","gene_12437","PREDICTED: LOW QUALITY PROTEIN: putative nuclease HARBI1, partial [Cyphomyrmex costatus]"
"49294","Sinv_RNA-XM_026141643.1_R3","gene_12266","uncharacterized protein LOC105205380 [Solenopsis invicta]"
"49295","Aech_RNA17384_R2","gene_12267","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"49296","Mpha_ver3_rna-XM_036289313.1_R1","gene_12268","uncharacterized protein LOC115240758 [Formica exsecta]"
"49297","Mpha_ver3_rna-XM_036286017.1_R1","gene_12438","Zinc finger CCHC domain-containing protein 13, partial [Cyphomyrmex costatus]"
"49300","Sinv_RNA-XM_026140462.1_R6","gene_12439","hypothetical protein RF55_15566, partial [Lasius niger]"
"49301","Aech_RNA11642_R9","gene_12440","PREDICTED: uncharacterized protein LOC105147647 [Acromyrmex echinatior]"
"49302","Aech_RNA7757_R6","gene_12269","FLJ37770-like protein [Acromyrmex echinatior]"
"49303","Sinv_RNA-XM_026141704.1_R9","gene_12441","PREDICTED: uncharacterized protein LOC108686078 [Atta colombica]"
"49304","Aech_RNA9030_R3","gene_12443","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"49305","Mpha_ver3_rna-XM_036294515.1_R4","gene_12270","PREDICTED: uncharacterized protein LOC105149712 [Acromyrmex echinatior]"
"49306","Sinv_RNA-XM_026129964.1_R6","gene_12442","PREDICTED: uncharacterized protein LOC105149712 [Acromyrmex echinatior]"
"49308","Aech_RNA3247_R3","gene_12271","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"49309","Sinv_RNA-XM_026141891.1_R7","gene_12272","PREDICTED: uncharacterized protein LOC105562081, partial [Vollenhovia emeryi]"
"49310","Sinv_RNA-XM_026141891.1_R6","gene_12444","PREDICTED: uncharacterized protein LOC105562081, partial [Vollenhovia emeryi]"
"49311","Mpha_ver3_rna-XM_036287777.1_R0","gene_12445","uncharacterized protein LOC112467878 [Temnothorax curvispinosus]"
"49313","Mpha_ver3_rna-XM_036284839.1_R3","gene_12273","hypothetical protein ALC57_05115 [Trachymyrmex cornetzi]"
"49318","Mpha_ver3_rna-XM_036291268.1_R0","gene_12446","PREDICTED: uncharacterized protein LOC108756034 [Trachymyrmex septentrionalis]"
"49319","Mpha_ver3_rna-XM_036284935.1_R6","gene_12447","hypothetical protein ALC57_05000 [Trachymyrmex cornetzi]"
"49320","Sinv_RNA-XM_011165379.2_R7","gene_12448","hypothetical protein ALC57_11376 [Trachymyrmex cornetzi]"
"49321","Aech_RNA15070_R0","gene_12274","PREDICTED: uncharacterized protein LOC105149712 [Acromyrmex echinatior]"
"49326","Mpha_ver3_rna-XM_036283169.1_R1","gene_12274","PREDICTED: uncharacterized protein LOC105149712 [Acromyrmex echinatior]"
"49327","Aech_RNA4024_R4","gene_12449","hypothetical protein ALC56_00325 [Trachymyrmex septentrionalis]"
"49328","Mpha_ver3_rna-XM_028189536.2_R0","gene_12450","uncharacterized protein LOC105185907 [Harpegnathos saltator]"
"49329","Aech_RNA17385_R9","gene_12276","FLJ37770-like protein, partial [Acromyrmex echinatior]"
"49330","Aech_RNA14313_R3","gene_12277","uncharacterized protein LOC112457633 [Temnothorax curvispinosus]"
"49331","Sinv_RNA-XM_011162586.1_R6","gene_12278","PREDICTED: uncharacterized protein LOC105152584 [Acromyrmex echinatior]"
"49332","Aech_RNA3001_R6","gene_12275","PREDICTED: uncharacterized protein LOC108777630 [Cyphomyrmex costatus]"
"49334","Sinv_RNA-XM_011166897.1_R0","gene_12451","hypothetical protein G5I_09569 [Acromyrmex echinatior]"
"49337","Sinv_RNA-XM_026141063.1_R4","gene_12453","hypothetical protein ALC57_05093 [Trachymyrmex cornetzi]"
"49338","Aech_RNA4242_R3","gene_12452","PREDICTED: uncharacterized protein LOC105143178 [Acromyrmex echinatior]"
"49339","Mpha_ver3_rna-XM_036288559.1_R0","gene_12454","PREDICTED: uncharacterized protein LOC108751189 [Trachymyrmex septentrionalis]"
"49344","Sinv_RNA-XM_026139933.1_R4","gene_12455","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC108750387 [Trachymyrmex septentrionalis]"
"49345","Aech_RNA20721_R6","gene_12279","hypothetical protein ALC57_00087 [Trachymyrmex cornetzi]"
"49346","Mpha_ver3_rna-XM_036291754.1_R0","gene_12280","putative PPE family protein PPE16 [Zootermopsis nevadensis]"
"49364","Mpha_ver3_rna-XM_036290685.1_R1","gene_12456","uncharacterized protein LOC114935190 [Nylanderia fulva]"
"49371","Aech_RNA20132_R0","gene_12281","PREDICTED: uncharacterized protein LOC105152930 [Acromyrmex echinatior]"
"49372","Sinv_RNA-XM_026134564.1_R0","gene_12282","hypothetical protein ALC57_04384 [Trachymyrmex cornetzi]"
"49373","Mpha_ver3_rna-XM_036288493.1_R0","gene_12457","PREDICTED: putative nuclease HARBI1 [Cyphomyrmex costatus]"
"49375","Sinv_RNA-XM_011173402.2_R3","gene_12457","PREDICTED: putative nuclease HARBI1, partial [Acromyrmex echinatior]"
"49376","Aech_RNA3998_R3","gene_12458","PREDICTED: uncharacterized protein LOC105146723 [Acromyrmex echinatior]"
"49378","Aech_RNA2349_R4","gene_12459","PREDICTED: uncharacterized protein LOC105154240 [Acromyrmex echinatior]"
"49379","Mpha_ver3_rna-XM_036292539.1_R3","gene_12460","hypothetical protein ALC56_14987 [Trachymyrmex septentrionalis]"
"49380","Mpha_ver3_rna-XM_036292538.1_R5","gene_12283","PREDICTED: uncharacterized protein LOC105147883 [Acromyrmex echinatior]"
"49382","Sinv_RNA-XM_026141503.1_R3","gene_12461","PREDICTED: uncharacterized protein LOC108756034 [Trachymyrmex septentrionalis]"
"49383","Sinv_RNA-XM_011165379.2_R2","gene_12462","hypothetical protein ALC57_11376 [Trachymyrmex cornetzi]"
"49384","Aech_RNA21322_R1","gene_12463","hypothetical protein G5I_06033 [Acromyrmex echinatior]"
"49385","Aech_RNA9028_R0","gene_12464","PREDICTED: uncharacterized protein LOC105146069 [Acromyrmex echinatior]"
"49386","Aech_RNA3088_R3","gene_12284","hypothetical protein ALC56_09829, partial [Trachymyrmex septentrionalis]"
"49387","Mpha_ver3_rna-XM_036288876.1_R4","gene_12465","PREDICTED: histone-lysine N-methyltransferase SETMAR-like, partial [Atta colombica]"
"49389","Sinv_RNA-XM_026140638.1_R4","gene_12466","PREDICTED: uncharacterized protein LOC108769183 [Trachymyrmex cornetzi]"
"49390","Aech_RNA9030_R0","gene_12285","PREDICTED: uncharacterized protein LOC105146071 [Acromyrmex echinatior]"
"49391","Mpha_ver3_rna-XM_036288875.1_R9","gene_12467","PREDICTED: uncharacterized protein LOC105154240 [Acromyrmex echinatior]"
"49394","Mpha_ver3_rna-XM_036290144.1_R5","gene_12468","PREDICTED: uncharacterized protein LOC108751189 [Trachymyrmex septentrionalis]"
"49395","Mpha_ver3_rna-XM_036292496.1_R7","gene_12286","uncharacterized protein LOC112465861 [Temnothorax curvispinosus]"
"49396","Mpha_ver3_rna-XM_036295228.1_R8","gene_12287","hypothetical protein ALC57_02005 [Trachymyrmex cornetzi]"
"49397","Aech_RNA5229_R1","gene_12469","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC108750387 [Trachymyrmex septentrionalis]"
"49398","Mpha_ver3_rna-XM_036290391.1_R6","gene_12470","hypothetical protein ALC57_02029 [Trachymyrmex cornetzi]"
"49412","Mpha_ver3_rna-XM_036283021.1_R7","gene_12288","hypothetical protein ALC57_03694 [Trachymyrmex cornetzi]"
"49413","Mpha_ver3_rna-XM_036283641.1_R0","gene_12471","PREDICTED: uncharacterized protein LOC108748176 [Trachymyrmex septentrionalis]"
"49417","Mpha_ver3_rna-XM_036295228.1_R1","gene_12472","hypothetical protein ALC57_02005 [Trachymyrmex cornetzi]"
"49418","Sinv_RNA-XM_026136090.1_R0","gene_12473","PREDICTED: LOW QUALITY PROTEIN: histone-lysine N-methyltransferase SETMAR-like [Trachymyrmex zeteki]"
"49419","Sinv_RNA-XM_026141549.1_R2","gene_12289","Copia protein, partial [Acromyrmex echinatior]"
"49420","Aech_RNA11813_R0","gene_12290","PREDICTED: uncharacterized protein LOC105147759 [Acromyrmex echinatior]"
"49421","Aech_RNA3032_R8","gene_12474","PREDICTED: uncharacterized protein LOC105154634 [Acromyrmex echinatior]"
"49422","Mpha_ver3_rna-XM_036294856.1_R1","gene_12475","uncharacterized protein LOC116849335 isoform X2 [Odontomachus brunneus]"
"49423","Aech_RNA14279_R0","gene_12291","PREDICTED: serine/threonine-protein kinase SIK3-like isoform X1 [Acromyrmex echinatior]"
"49424","Aech_RNA14282_R0","gene_12291","PREDICTED: serine/threonine-protein kinase SIK3-like isoform X2 [Acromyrmex echinatior]"
"49425","Aech_RNA14280_R0","gene_12291","PREDICTED: serine/threonine-protein kinase SIK3-like isoform X3 [Acromyrmex echinatior]"
"49426","Aech_RNA14281_R0","gene_12291","PREDICTED: serine/threonine-protein kinase SIK3-like isoform X1 [Acromyrmex echinatior]"
